AllStateBandID,SchoolYear,ScoreGroup,Description,MaxScore,Percussion,NotCountedInTotal
1,2012-2013,Lyrical Etude,"Musicallity, Tempo & Style",20,NULL,NULL
1,2012-2013,Lyrical Etude,Tone Quality,15,NULL,NULL
1,2012-2013,Lyrical Etude,Note Accuracy,10,NULL,NULL
1,2012-2013,Lyrical Etude,Rhythmic Accuracy,10,NULL,NULL
1,2012-2013,Lyrical Etude,Artistry,5,NULL,NULL
1,2012-2013,Mallet Etude,"Musicality, Tempo & Style",20,1,NULL
1,2012-2013,Mallet Etude,Note Accuracy,10,1,NULL
1,2012-2013,Mallet Etude,Rhythmic Accuracy,10,1,NULL
1,2012-2013,Reading-Mallet,Note Accuracy & Tone,10,1,NULL
1,2012-2013,Reading-Mallet,Rhythmic Accuracy & Articulation,10,1,NULL
1,2012-2013,Reading-Mallet,Musicality & Style,15,1,NULL
1,2012-2013,Reading-Snare,Note Accuracy & Tone,10,1,NULL
1,2012-2013,Reading-Snare,Rhythmic Accuracy & Articulation,10,1,NULL
1,2012-2013,Reading-Snare,Musicality & Style,15,1,NULL
1,2012-2013,Reading-Timpani,Note Accuracy,10,1,NULL
1,2012-2013,Reading-Timpani,Rhythmic Accuracy & Articulation,10,1,NULL
1,2012-2013,Reading-Timpani,Musicality & Style,15,1,NULL
1,2012-2013,Scales,Chromatic,15,1,NULL
1,2012-2013,Scales,Chromatic,15,NULL,NULL
1,2012-2013,Scales,Note Accuracy,40,1,NULL
1,2012-2013,Scales,G,8,NULL,NULL
1,2012-2013,Scales,Tempo & Consistency,40,1,NULL
1,2012-2013,Scales,C,8,NULL,NULL
1,2012-2013,Scales,"Musicality, Phrasing & Style",20,1,NULL
1,2012-2013,Scales,F,8,NULL,NULL
1,2012-2013,Scales,Bb,8,NULL,NULL
1,2012-2013,Scales,Eb,8,NULL,NULL
1,2012-2013,Scales,Ab,8,NULL,NULL
1,2012-2013,Scales,Db,8,NULL,NULL
1,2012-2013,Scales,Note Accuracy/Consistency,30,NULL,NULL
1,2012-2013,Scales,Articulation & Style,10,NULL,NULL
1,2012-2013,Scales,Tone Quality,15,NULL,NULL
1,2012-2013,Scales,"Musicality, Tempo, & Style",10,NULL,NULL
1,2012-2013,Sight-Reading,Note Accuracy,10,NULL,NULL
1,2012-2013,Sight-Reading,Rhythmic Accuracy,10,NULL,NULL
1,2012-2013,Sight-Reading,"Musicallity, Tempo & Style",10,NULL,NULL
1,2012-2013,Sight-Reading,Tone Quality,5,NULL,NULL
1,2012-2013,Sight-Reading,Artistry,5,NULL,NULL
1,2012-2013,Snare Etude,"Musicallyty, Tempo & Style",20,1,NULL
1,2012-2013,Snare Etude,Note Accuracy,10,1,NULL
1,2012-2013,Snare Etude,Rhythmic Accuracy,10,1,NULL
1,2012-2013,Technical Etude,"Musicallity, Tempo & Style",20,NULL,NULL
1,2012-2013,Technical Etude,Tone Quality,15,NULL,NULL
1,2012-2013,Technical Etude,Note Accuracy,10,NULL,NULL
1,2012-2013,Technical Etude,Rhythmic Accuracy,10,NULL,NULL
1,2012-2013,Technical Etude,Articulation,5,NULL,NULL
1,2012-2013,Timpani Etude,"Musicality, Tempo, & Style",20,1,NULL
1,2012-2013,Timpani Etude,Note Accuracy,10,1,NULL
1,2012-2013,Timpani Etude,Rhythmic Accuracy,10,1,NULL
2,2012-2013,Lyrical Etude,"Musicallity, Tempo & Style",20,NULL,NULL
2,2012-2013,Lyrical Etude,Tone Quality,15,NULL,NULL
2,2012-2013,Lyrical Etude,Note Accuracy,10,NULL,NULL
2,2012-2013,Lyrical Etude,Rhythmic Accuracy,10,NULL,NULL
2,2012-2013,Lyrical Etude,Artistry,5,NULL,NULL
2,2012-2013,Mallet Etude,"Musicality, Tempo & Style",20,1,NULL
2,2012-2013,Mallet Etude,Note Accuracy,10,1,NULL
2,2012-2013,Mallet Etude,Rhythmic Accuracy,10,1,NULL
2,2012-2013,Reading-Mallet,Note Accuracy & Tone,10,1,NULL
2,2012-2013,Reading-Mallet,Rhythmic Accuracy & Articulation,10,1,NULL
2,2012-2013,Reading-Mallet,Musicality & Style,15,1,NULL
2,2012-2013,Reading-Snare,Note Accuracy & Tone,10,1,NULL
2,2012-2013,Reading-Snare,Rhythmic Accuracy & Articulation,10,1,NULL
